"","IndustryGroup","JobGroup","RiskGroup","V20","V21","sum_Employment"
"1","1","1","1",14,149,45.573
"2","1","1","1",20,120,11.629
"3","1","1","1",20,132,103.83
"4","1","2","1",12,241,87.919
"5","1","2","1",14,231,741.399
"6","1","2","1",14,235,161.041
"7","1","2","1",14,262,183.223
"8","1","2","1",20,211,64.885
"9","1","2","1",20,231,212.994
"10","1","2","1",20,237,47.045
"11","1","2","1",20,254,35.384
"12","1","2","1",31,237,1355.98
"13","1","2","1",32,237,18.353
"14","1","2","2",11,213,99.306
"15","1","2","2",12,289,23.351
"16","1","2","2",14,213,344.524
"17","1","2","2",14,234,25.554
"18","1","2","2",20,213,323.921
"19","1","2","2",20,223,244.251
"20","1","2","2",31,274,118.749
"21","1","3","2",14,311,596.724
"22","1","3","2",20,311,62.558
"23","1","3","2",20,320,66.534
"24","1","3","3",11,312,27.355
"25","1","3","3",11,313,132.213
"26","1","3","3",11,314,36.741
"27","1","3","3",12,312,527.833
"28","1","3","3",12,313,862.865
"29","1","3","3",14,312,906.16
"30","1","3","3",14,313,677.63
"31","1","3","3",14,330,81.776
"32","1","3","3",20,312,904.235
"33","1","3","3",20,313,95.298
"34","1","3","3",20,314,21.304
"35","1","3","3",31,312,346.195
"36","1","3","3",31,313,557.136
"37","1","3","3",32,312,190.538
"38","1","3","3",32,313,188.495
"39","1","3","3",32,314,28.348
"40","1","4","2",12,441,115.214
"41","1","4","2",20,432,10.161
"42","1","4","2",32,412,34.562
"43","1","4","2",32,441,67.294
"44","1","5","2",12,510,50.864
"45","1","5","3",11,521,380.317
"46","1","5","3",11,530,126.993
"47","1","5","3",12,521,126.93
"48","1","5","3",20,521,119.722
"49","1","5","3",31,521,69.806
"50","1","5","3",31,530,65.639
"51","1","5","3",32,521,7.871
"52","1","6","2",11,611,1098873.619
"53","1","6","2",11,612,18545.455
"54","1","6","2",11,613,87.395
"55","1","6","2",11,620,317.505
"56","1","6","2",12,611,67.976
"57","1","6","2",12,613,74458.3
"58","1","6","2",12,620,106.696
"59","1","6","2",13,611,101.447
"60","1","6","2",13,613,166.804
"61","1","6","2",14,613,305.273
"62","1","6","2",20,611,50.724
"63","1","6","2",20,612,1488.375
"64","1","6","2",20,620,6299.347
"65","1","6","3",31,630,32113.085
"66","1","6","3",32,630,13820.297
"67","1","7","1",12,762,240.568
"68","1","7","2",11,710,16.942
"69","1","7","2",12,753,39.69
"70","1","7","2",14,710,43.143
"71","1","7","2",32,772,18.75
"72","1","7","3",32,743,9.73
"73","1","8","2",11,873,261.789
"74","1","8","2",11,874,41.835
"75","1","8","2",11,875,56.424
"76","1","8","2",12,873,358.855
"77","1","8","2",12,874,115.425
"78","1","8","2",14,861,41.289
"79","1","8","2",14,873,46.74
"80","1","8","2",14,874,71.949
"81","1","8","2",14,875,205.684
"82","1","8","2",14,881,399.694
"83","1","8","2",20,875,118.501
"84","1","8","2",31,873,201.058
"85","1","8","2",32,873,54.567
"86","1","8","3",12,862,49.472
"87","1","8","3",12,899,19.798
"88","1","8","3",14,862,114.548
"89","1","8","3",31,876,187.382
"90","1","9","2",11,910,108.715
"91","1","9","2",11,930,127.245
"92","1","9","2",11,991,76811.726
"93","1","9","2",11,999,18.547
"94","1","9","2",12,930,128.463
"95","1","9","2",12,941,24.846
"96","1","9","2",12,942,279.651
"97","1","9","2",12,991,1649.609
"98","1","9","2",14,930,26.664
"99","1","9","2",14,941,33.158
"100","1","9","2",14,942,22.513
"101","1","9","2",14,953,504.995
"102","1","9","2",14,991,1015.4
"103","1","9","2",20,910,42.58
"104","1","9","2",20,991,4598.247
"105","1","9","2",31,991,5006.985
"106","1","9","2",32,941,25.436
"107","1","9","2",32,953,51.935
"108","1","9","2",32,991,3504.934
"109","1","9","3",11,922,72.474
"110","1","9","3",11,952,18.462
"111","1","9","3",12,952,23.961
"112","1","9","3",32,922,45.272
"113","2","1","1",71,112,50.891
"114","2","1","1",71,120,592.194
"115","2","1","1",71,141,567.554
"116","2","2","1",51,231,46.818
"117","2","2","1",52,239,395.526
"118","2","2","1",71,237,1
"119","2","2","1",80,211,93.898
"120","2","2","2",71,236,113.603
"121","2","2","2",71,271,1
"122","2","3","2",80,311,153.537
"123","2","3","3",51,312,619.449
"124","2","3","3",52,313,1
"125","2","3","3",61,312,78.384
"126","2","3","3",71,312,1244.835
"127","2","3","3",71,313,1078.412
"128","2","3","3",71,314,23.602
"129","2","3","3",80,312,345.14
"130","2","4","2",51,412,58.962
"131","2","5","2",51,510,44.95
"132","2","5","2",71,510,30.893
"133","2","5","3",71,521,61.61
"134","2","5","3",72,521,23.788
"135","2","7","1",51,762,311.619
"136","2","7","2",51,753,395.848
"137","2","7","2",51,774,3492.873
"138","2","7","2",61,753,37.161
"139","2","7","2",61,774,39.016
"140","2","7","2",62,753,44.351
"141","2","7","2",62,774,374.642
"142","2","7","2",71,753,227.017
"143","2","7","2",71,774,1262.7
"144","2","7","2",72,774,835.963
"145","2","7","3",61,742,35.357
"146","2","8","2",51,871,356.075
"147","2","8","2",51,872,113.152
"148","2","8","2",51,873,20.945
"149","2","8","2",51,875,304.19
"150","2","8","2",61,873,33.632
"151","2","8","2",61,874,39.114
"152","2","8","2",62,873,139.377
"153","2","8","2",62,875,51.031
"154","2","8","2",71,873,1961.638
"155","2","8","2",71,874,180.952
"156","2","8","2",71,875,1962.298
"157","2","8","2",80,873,75.036
"158","2","8","3",51,843,55.721
"159","2","8","3",51,862,53.575
"160","2","8","3",71,843,487.32
"161","2","9","2",51,910,60.295
"162","2","9","2",51,941,54.964
"163","2","9","2",51,942,89.373
"164","2","9","2",61,942,42.989
"165","2","9","2",71,910,1101.268
"166","2","9","2",71,930,122.787
"167","2","9","2",71,941,810.598
"168","2","9","2",71,942,314.022
"169","3","1","1",101,141,1350.759
"170","3","1","1",102,141,269.508
"171","3","1","1",103,141,127.969
"172","3","1","1",107,120,382.527
"173","3","1","1",107,141,1346.233
"174","3","1","1",111,120,471.846
"175","3","1","1",111,141,396.219
"176","3","1","1",132,120,297.576
"177","3","1","1",132,141,133.265
"178","3","1","1",134,120,202.632
"179","3","1","1",139,141,155.24
"180","3","1","1",141,141,330.97
"181","3","1","1",161,141,97.911
"182","3","1","1",162,141,97.898
"183","3","1","1",171,141,384.643
"184","3","1","1",172,141,584.557
"185","3","1","1",192,120,468.278
"186","3","1","1",201,141,313.845
"187","3","1","1",202,141,77.737
"188","3","1","1",203,141,321.452
"189","3","1","1",204,120,307.489
"190","3","1","1",204,131,114.077
"191","3","1","1",204,141,1425.74
"192","3","1","1",212,120,666.667
"193","3","1","1",212,141,269.491
"194","3","1","1",221,141,348.998
"195","3","1","1",222,112,37.896
"196","3","1","1",222,120,2163.167
"197","3","1","1",222,141,1003.777
"198","3","1","1",232,141,364.111
"199","3","1","1",233,141,532.536
"200","3","1","1",233,149,67.353
"201","3","1","1",239,120,573.438
"202","3","1","1",239,141,1046.338
"203","3","1","1",241,120,608.029
"204","3","1","1",241,141,720.367
"205","3","1","1",242,120,230.976
"206","3","1","1",242,141,373.161
"207","3","1","1",243,112,185.144
"208","3","1","1",243,120,215.395
"209","3","1","1",243,141,328.079
"210","3","1","1",251,112,293.575
"211","3","1","1",251,120,311.179
"212","3","1","1",251,141,1650.931
"213","3","1","1",252,141,154.093
"214","3","1","1",259,120,808.432
"215","3","1","1",259,141,1576.753
"216","3","1","1",261,120,688.176
"217","3","1","1",261,141,245.915
"218","3","1","1",262,131,371.07
"219","3","1","1",262,141,1079.426
"220","3","1","1",263,141,276.623
"221","3","1","1",264,120,538.284
"222","3","1","1",264,141,239.48
"223","3","1","1",265,131,335.611
"224","3","1","1",265,141,99.681
"225","3","1","1",271,120,123.157
"226","3","1","1",271,141,662.701
"227","3","1","1",272,120,32.672
"228","3","1","1",272,141,32.877
"229","3","1","1",281,120,872.973
"230","3","1","1",281,141,468.968
"231","3","1","1",283,141,52.532
"232","3","1","1",284,141,146.948
"233","3","1","1",285,141,255.323
"234","3","1","1",291,112,635.765
"235","3","1","1",291,120,855.62
"236","3","1","1",291,131,74.297
"237","3","1","1",291,141,1600.868
"238","3","1","1",292,120,1367.941
"239","3","1","1",292,141,1991.136
"240","3","1","1",301,120,467.012
"241","3","1","1",301,141,323.165
"242","3","1","1",303,112,648.33
"243","3","1","1",303,120,3303.185
"244","3","1","1",303,141,3667.741
"245","3","1","1",311,120,751.747
"246","3","1","1",311,141,1167.874
"247","3","1","1",312,120,128.493
"248","3","1","1",320,141,99.448
"249","3","1","1",339,141,39.411
"250","3","1","2",102,151,374.61
"251","3","1","2",103,151,293.596
"252","3","1","2",139,151,369.878
"253","3","1","2",141,151,919.702
"254","3","1","2",179,151,34.788
"255","3","1","2",204,151,116.779
"256","3","1","2",212,151,633.869
"257","3","1","2",222,151,145.664
"258","3","1","2",239,151,31.823
"259","3","1","2",259,151,818.007
"260","3","1","2",262,151,372.239
"261","3","1","2",281,151,737.187
"262","3","1","2",282,151,354.364
"263","3","1","2",283,151,195.513
"264","3","1","2",291,151,401.818
"265","3","1","2",292,151,357.291
"266","3","1","2",303,151,618.208
"267","3","1","2",311,151,236.835
"268","3","1","2",313,151,267.349
"269","3","1","2",320,151,306.059
"270","3","2","1",101,239,360.24
"271","3","2","1",101,244,107.993
"272","3","2","1",101,285,154.374
"273","3","2","1",102,237,45.047
"274","3","2","1",102,239,246.705
"275","3","2","1",103,222,48.418
"276","3","2","1",103,239,336.552
"277","3","2","1",103,244,83.131
"278","3","2","1",104,239,103.509
"279","3","2","1",105,239,884.618
"280","3","2","1",106,239,209.284
"281","3","2","1",107,211,89.41
"282","3","2","1",107,222,238.283
"283","3","2","1",107,232,89.41
"284","3","2","1",107,239,4488.846
"285","3","2","1",107,244,193.51
"286","3","2","1",107,254,217.29
"287","3","2","1",107,273,153.312
"288","3","2","1",107,285,138.976
"289","3","2","1",108,239,53.73
"290","3","2","1",111,239,205.133
"291","3","2","1",111,243,88.546
"292","3","2","1",131,232,146.725
"293","3","2","1",131,239,50.705
"294","3","2","1",132,247,188.867
"295","3","2","1",132,285,1219.879
"296","3","2","1",134,239,1121.987
"297","3","2","1",134,254,41.701
"298","3","2","1",134,285,82.775
"299","3","2","1",139,239,237.974
"300","3","2","1",139,243,139.878
"301","3","2","1",141,273,1876.594
"302","3","2","1",141,284,313.393
"303","3","2","1",141,285,16142.613
"304","3","2","1",142,285,212.981
"305","3","2","1",143,285,333.04
"306","3","2","1",144,285,298.54
"307","3","2","1",151,285,1509.584
"308","3","2","1",152,235,236.281
"309","3","2","1",152,239,475.179
"310","3","2","1",152,273,594.045
"311","3","2","1",152,285,1793.664
"312","3","2","1",162,239,424.976
"313","3","2","1",162,254,284.844
"314","3","2","1",162,285,301.574
"315","3","2","1",171,273,194.925
"316","3","2","1",172,235,331.233
"317","3","2","1",172,285,282.375
"318","3","2","1",179,232,108.991
"319","3","2","1",179,235,226.384
"320","3","2","1",179,285,1010.138
"321","3","2","1",181,259,58.545
"322","3","2","1",181,281,566.796
"323","3","2","1",181,285,4979.929
"324","3","2","1",192,232,1463.785
"325","3","2","1",192,233,67.52
"326","3","2","1",192,235,131.295
"327","3","2","1",201,211,222.999
"328","3","2","1",201,222,181.078
"329","3","2","1",201,232,2539.803
"330","3","2","1",201,235,349.091
"331","3","2","1",201,239,439.329
"332","3","2","1",201,281,159.355
"333","3","2","1",202,232,245.154
"334","3","2","1",203,211,511.876
"335","3","2","1",203,232,1716.675
"336","3","2","1",203,235,622.656
"337","3","2","1",203,247,256.202
"338","3","2","1",204,211,554.357
"339","3","2","1",204,221,249.636
"340","3","2","1",204,232,10416.272
"341","3","2","1",204,235,548.999
"342","3","2","1",204,239,1022.937
"343","3","2","1",204,247,129.35
"344","3","2","1",204,284,296.235
"345","3","2","1",204,285,1047.689
"346","3","2","1",205,239,987.839
"347","3","2","1",211,211,723.751
"348","3","2","1",211,235,134.395
"349","3","2","1",212,211,4531.898
"350","3","2","1",212,232,2832.206
"351","3","2","1",212,235,353.591
"352","3","2","1",212,239,129.625
"353","3","2","1",212,242,252.208
"354","3","2","1",212,254,354.987
"355","3","2","1",212,273,226.534
"356","3","2","1",213,211,414.4
"357","3","2","1",213,235,175.066
"358","3","2","1",221,232,1665.341
"359","3","2","1",221,233,256.175
"360","3","2","1",221,235,481.97
"361","3","2","1",221,239,238.957
"362","3","2","1",221,244,145.418
"363","3","2","1",222,211,153.713
"364","3","2","1",222,221,61.496
"365","3","2","1",222,232,768.424
"366","3","2","1",222,233,194.929
"367","3","2","1",222,235,861.291
"368","3","2","1",222,239,2004.189
"369","3","2","1",222,244,145.418
"370","3","2","1",222,281,423.727
"371","3","2","1",222,285,1020.123
"372","3","2","1",231,233,1061.512
"373","3","2","1",231,239,262.405
"374","3","2","1",231,273,325.59
"375","3","2","1",231,285,313.442
"376","3","2","1",232,233,416.968
"377","3","2","1",232,254,26.179
"378","3","2","1",232,285,534.611
"379","3","2","1",233,231,173.368
"380","3","2","1",233,233,321.946
"381","3","2","1",233,239,105.402
"382","3","2","1",239,235,217.328
"383","3","2","1",241,222,271.301
"384","3","2","1",241,232,221.044
"385","3","2","1",241,233,1742.138
"386","3","2","1",241,235,1167.5
"387","3","2","1",241,239,224.293
"388","3","2","1",241,254,44.448
"389","3","2","1",242,233,295.519
"390","3","2","1",242,235,220.821
"391","3","2","1",242,239,185.491
"392","3","2","1",242,286,101.1
"393","3","2","1",243,222,398.825
"394","3","2","1",243,239,404.408
"395","3","2","1",251,222,105.46
"396","3","2","1",251,231,535.628
"397","3","2","1",251,233,774.651
"398","3","2","1",251,235,1448.551
"399","3","2","1",251,239,2185.737
"400","3","2","1",251,285,829.601
"401","3","2","1",252,211,141.672
"402","3","2","1",252,221,177.035
"403","3","2","1",252,222,40.4
"404","3","2","1",252,232,149.224
"405","3","2","1",252,235,1167.365
"406","3","2","1",259,211,205.119
"407","3","2","1",259,222,57.631
"408","3","2","1",259,233,321.277
"409","3","2","1",259,235,2160.529
"410","3","2","1",259,239,2293.688
"411","3","2","1",259,285,506.883
"412","3","2","1",261,221,501.138
"413","3","2","1",261,222,1712.906
"414","3","2","1",261,231,137.663
"415","3","2","1",261,232,193.704
"416","3","2","1",261,235,25201.272
"417","3","2","1",261,239,1739.547
"418","3","2","1",261,254,429.995
"419","3","2","1",261,285,64.884
"420","3","2","1",262,221,2008.766
"421","3","2","1",262,222,1382.319
"422","3","2","1",262,233,245.807
"423","3","2","1",262,235,21792.242
"424","3","2","1",262,239,3543.709
"425","3","2","1",262,244,97.875
"426","3","2","1",262,286,99.637
"427","3","2","1",263,221,2088.796
"428","3","2","1",263,222,1523.06
"429","3","2","1",263,235,506.597
"430","3","2","1",263,239,165.682
"431","3","2","1",263,285,299.313
"432","3","2","1",264,221,10962.495
"433","3","2","1",264,222,2563.126
"434","3","2","1",264,235,3652.951
"435","3","2","1",264,239,715.512
"436","3","2","1",264,285,202.931
"437","3","2","1",265,221,758.457
"438","3","2","1",265,222,2276.083
"439","3","2","1",265,235,6296.023
"440","3","2","1",265,239,547.15
"441","3","2","1",265,261,347.921
"442","3","2","1",265,285,209.721
"443","3","2","1",271,211,350.849
"444","3","2","1",271,235,2574.987
"445","3","2","1",271,239,212.193
"446","3","2","1",271,285,694.035
"447","3","2","1",272,221,537.322
"448","3","2","1",272,222,2134.191
"449","3","2","1",272,231,194.336
"450","3","2","1",272,235,9350.853
"451","3","2","1",272,239,3641.715
"452","3","2","1",272,285,645.15
"453","3","2","1",273,211,412.582
"454","3","2","1",273,221,215.79
"455","3","2","1",273,222,78.018
"456","3","2","1",273,233,318.935
"457","3","2","1",273,235,416.474
"458","3","2","1",273,239,499.51
"459","3","2","1",273,285,82.901
"460","3","2","1",281,221,355.426
"461","3","2","1",281,222,506.812
"462","3","2","1",281,232,654.943
"463","3","2","1",281,235,11239.176
"464","3","2","1",281,239,5233.749
"465","3","2","1",281,254,252.458
"466","3","2","1",281,285,303.82
"467","3","2","1",282,222,367.357
"468","3","2","1",282,235,2185.574
"469","3","2","1",282,261,348.985
"470","3","2","1",283,221,103.796
"471","3","2","1",283,233,123.324
"472","3","2","1",283,235,534.969
"473","3","2","1",284,222,200.89
"474","3","2","1",284,235,2272.183
"475","3","2","1",284,239,824.54
"476","3","2","1",284,285,582.082
"477","3","2","1",285,235,7528.149
"478","3","2","1",285,239,298.621
"479","3","2","1",285,273,332.49
"480","3","2","1",285,285,296.268
"481","3","2","1",289,222,222.643
"482","3","2","1",289,235,478.309
"483","3","2","1",289,239,282.57
"484","3","2","1",291,222,699.07
"485","3","2","1",291,232,43.973
"486","3","2","1",291,233,483.286
"487","3","2","1",291,235,8956.188
"488","3","2","1",291,239,6301.603
"489","3","2","1",291,244,135.161
"490","3","2","1",292,221,212.956
"491","3","2","1",292,222,2287.073
"492","3","2","1",292,232,52.113
"493","3","2","1",292,233,154.683
"494","3","2","1",292,235,18226.69
"495","3","2","1",292,239,11193.589
"496","3","2","1",292,244,196.621
"497","3","2","1",292,273,289.589
"498","3","2","1",292,285,514.434
"499","3","2","1",301,235,3814.329
