"","WageGroup","EduGroup","IndustryGroup","JobGroup","RiskGroup","AgeGroup","Sex","sum_Employment"
"1","0",0,"1","6","2","6",1,29.854
"2","0",0,"1","6","2","7",2,8.633
"3","0",0,"1","9","2","4",1,69.279
"4","0",0,"1","9","2","4",2,26.569
"5","0",0,"1","9","2","5",1,41.719
"6","0",0,"1","9","2","5",2,584.862
"7","0",0,"1","9","2","6",1,219.13
"8","0",0,"1","9","2","6",2,3064.039
"9","0",0,"1","9","2","7",1,266.499
"10","0",0,"1","9","2","7",2,9036.363
"11","0",0,"2","7","2","5",2,29.146
"12","0",0,"3","4","2","6",2,22.963
"13","0",0,"3","7","2","6",2,42.701
"14","0",0,"3","7","2","7",2,142.805
"15","0",0,"3","8","2","5",1,46.98
"16","0",0,"3","8","2","5",2,120.238
"17","0",0,"3","8","2","7",1,166.323
"18","0",0,"3","9","2","2",2,86.105
"19","0",0,"3","9","2","5",1,51.794
"20","0",0,"3","9","2","6",2,727.212
"21","0",0,"3","9","2","7",2,2494.315
"22","0",0,"3","9","3","7",2,40.937
"23","0",0,"4","9","2","6",2,13.895
"24","0",0,"5","9","2","6",2,146.731
"25","0",0,"6","7","2","6",1,512.024
"26","0",0,"6","7","2","7",1,133.247
"27","0",0,"6","7","3","5",1,368.779
"28","0",0,"6","9","2","4",1,73.697
"29","0",0,"6","9","2","5",1,311.077
"30","0",0,"6","9","2","6",1,108.366
"31","0",0,"6","9","2","6",2,22.917
"32","0",0,"6","9","2","7",1,33.107
"33","0",0,"6","9","2","7",2,202.343
"34","0",0,"7","4","2","7",2,188.838
"35","0",0,"7","5","3","6",2,138.19
"36","0",0,"7","5","3","7",2,45.036
"37","0",0,"7","9","2","4",1,164.446
"38","0",0,"7","9","2","5",2,239.889
"39","0",0,"7","9","2","6",1,333.439
"40","0",0,"7","9","2","6",2,1059.067
"41","0",0,"7","9","2","7",1,1821.293
"42","0",0,"7","9","2","7",2,6165.267
"43","0",0,"7","9","3","4",1,340.059
"44","0",0,"7","9","3","7",1,451.348
"45","0",0,"7","9","3","7",2,173.362
"46","0",0,"9","4","2","1",1,85.434
