"","V20","EduGroup","RiskGroup","sum_Employment"
"1",11,0,"2",130968.36
"2",11,1,"2",444776.482
"3",11,1,"3",244.039
"4",11,2,"2",233217.677
"5",11,3,"2",281316.622
"6",11,3,"3",320.083
"7",11,4,"2",38741.11
"8",11,5,"2",58692.2
"9",11,5,"3",230.433
"10",11,6,"2",6588.708
"11",11,7,"2",1065.344
"12",12,0,"2",1638.237
"13",12,1,"2",13316.689
"14",12,1,"3",41.997
"15",12,2,"2",14346.853
"16",12,2,"3",93.231
"17",12,3,"1",240.568
"18",12,3,"2",29448.835
"19",12,3,"3",566.093
"20",12,4,"2",6117.953
"21",12,4,"3",352.54
"22",12,5,"1",87.919
"23",12,5,"2",11272.061
"24",12,5,"3",556.998
"25",12,6,"2",1076.421
"26",12,7,"2",201.891
"27",13,1,"2",9.463
"28",13,2,"2",56.032
"29",13,3,"2",140.567
"30",13,4,"2",62.189
"31",14,1,"2",356.613
"32",14,2,"2",757.72
"33",14,3,"1",95.56
"34",14,3,"2",1024.308
"35",14,3,"3",202.894
"36",14,4,"1",59.662
"37",14,4,"2",508.421
"38",14,4,"3",191.433
"39",14,5,"1",699.284
"40",14,5,"2",1036.242
"41",14,5,"3",1385.787
"42",14,6,"1",276.73
"43",20,0,"2",768.397
"44",20,1,"2",3101.356
"45",20,2,"2",2557.159
"46",20,2,"3",64.808
"47",20,3,"1",143.009
"48",20,3,"2",4298.253
"49",20,3,"3",161.418
"50",20,4,"1",58.674
"51",20,4,"2",800.881
"52",20,4,"3",107.895
"53",20,5,"1",218.387
"54",20,5,"2",1668.598
"55",20,5,"3",806.438
"56",20,6,"1",20.313
"57",20,6,"2",67.039
"58",20,7,"1",35.384
"59",20,7,"2",43.516
"60",31,0,"2",509.607
"61",31,0,"3",1041.706
"62",31,1,"1",118.841
"63",31,1,"2",1577.839
"64",31,1,"3",10030.234
"65",31,2,"1",267.671
"66",31,2,"2",1233.026
"67",31,2,"3",9028.428
"68",31,3,"1",902.945
"69",31,3,"2",1848.207
"70",31,3,"3",10803.575
"71",31,4,"1",66.523
"72",31,4,"2",101.108
"73",31,4,"3",1042.455
"74",31,5,"2",57.005
"75",31,5,"3",1392.845
"76",32,0,"2",314.706
"77",32,0,"3",222.294
"78",32,1,"2",1380.178
"79",32,1,"3",2511.529
"80",32,2,"2",968.811
"81",32,2,"3",2132.927
"82",32,3,"1",18.353
"83",32,3,"2",817.477
"84",32,3,"3",5954.752
"85",32,4,"2",76.93
"86",32,4,"3",1082.44
"87",32,5,"2",199.376
"88",32,5,"3",2325.341
"89",32,6,"3",61.268
"90",51,1,"2",207.481
"91",51,2,"1",55.052
"92",51,2,"2",775.689
"93",51,2,"3",19.834
"94",51,3,"1",238.027
"95",51,3,"2",3470.213
"96",51,3,"3",615.062
"97",51,4,"1",65.358
"98",51,4,"2",324.778
"99",51,4,"3",74.185
"100",51,5,"2",213.466
"101",51,5,"3",19.664
"102",52,4,"1",395.526
"103",52,5,"3",1
"104",61,1,"2",37.161
"105",61,1,"3",26.457
"106",61,2,"2",82.005
"107",61,3,"2",72.746
"108",61,3,"3",87.284
"109",62,1,"2",54.576
"110",62,2,"2",353.388
"111",62,3,"2",172.752
"112",62,4,"2",28.685
"113",71,0,"2",163.403
"114",71,1,"2",1564.641
