"","IndustryGroup","JobGroup","RiskGroup","sum_Employment"
"1","1","1","1",161.032
"2","1","2","1",2908.223
"3","1","2","2",1179.656
"4","1","3","2",725.816
"5","1","3","3",5584.122
"6","1","4","2",227.231
"7","1","5","2",50.864
"8","1","5","3",897.278
"9","1","6","2",1200868.916
"10","1","6","3",45933.382
"11","1","7","1",240.568
"12","1","7","2",118.525
"13","1","7","3",9.73
"14","1","8","2",1973.81
"15","1","8","3",371.2
"16","1","9","2",93981.649
"17","1","9","3",160.169
"18","2","1","1",1210.639
"19","2","2","1",537.242
"20","2","2","2",114.603
"21","2","3","2",153.537
"22","2","3","3",3390.822
"23","2","4","2",58.962
"24","2","5","2",75.843
"25","2","5","3",85.398
"26","2","7","1",311.619
"27","2","7","2",6709.571
"28","2","7","3",35.357
"29","2","8","2",5237.44
"30","2","8","3",596.616
"31","2","9","2",2596.296
"32","3","1","1",47832.707
"33","3","1","2",7585.579
"34","3","2","1",363665.861
"35","3","2","2",109456.248
"36","3","3","2",2223.743
"37","3","3","3",973428.795
"38","3","4","2",15535
"39","3","4","3",537.527
"40","3","5","2",85192.237
"41","3","5","3",25691.841
"42","3","6","2",127.812
"43","3","7","1",20606.483
"44","3","7","2",476099.614
"45","3","7","3",252115.188
"46","3","8","2",176533.651
"47","3","8","3",1480444.631
"48","3","9","2",391375.551
"49","3","9","3",12989.678
"50","4","1","1",2453.185
"51","4","2","1",12642.339
"52","4","2","2",5264.642
"53","4","3","2",4764.001
"54","4","3","3",24748.954
"55","4","4","1",189.036
"56","4","4","2",786.046
"57","4","5","2",138.056
"58","4","7","1",5142.485
"59","4","7","2",4719.359
"60","4","7","3",102.817
"61","4","8","2",13653.102
"62","4","8","3",1416.682
"63","4","9","2",2204.662
"64","4","9","3",5874.244
"65","5","1","1",1705.252
"66","5","2","1",750.739
"67","5","2","2",7964.4
"68","5","3","2",412.882
"69","5","3","3",23337.197
"70","5","4","2",270.929
"71","5","5","2",1150.945
"72","5","5","3",106.271
"73","5","7","1",47.404
"74","5","7","2",2581.324
"75","5","7","3",167.819
"76","5","8","2",41709.436
"77","5","8","3",3790.201
"78","5","9","2",16537.764
"79","6","1","1",43093.467
"80","6","1","2",879.615
"81","6","2","1",156357.946
"82","6","2","2",27997.176
"83","6","3","2",1262.147
"84","6","3","3",273678.623
"85","6","4","1",288.17
"86","6","4","2",1224.635
"87","6","5","2",15397.924
"88","6","5","3",2224.431
"89","6","6","2",3367.015
"90","6","7","1",141909.903
"91","6","7","2",445786.498
"92","6","7","3",322674.666
"93","6","8","2",171326.52
"94","6","8","3",15678.275
"95","6","9","2",337527.094
"96","6","9","3",599.511
"97","7","1","1",4841.347
"98","7","1","2",18734.069
"99","7","2","1",91651.998
"100","7","2","2",148535.582
"101","7","3","2",10266.574
"102","7","3","3",637374.289
"103","7","4","2",15668.362
"104","7","4","3",462.143
"105","7","5","2",284973.293
"106","7","5","3",1969801.128
"107","7","6","2",177.95
"108","7","7","1",3744.468
"109","7","7","2",89960.496
"110","7","7","3",16365.169
"111","7","8","2",72196.611
"112","7","8","3",12969.548
"113","7","9","2",257535.599
"114","7","9","3",137383.946
"115","8","1","1",1041.283
"116","8","1","2",7642.373
"117","8","2","1",19639.039
"118","8","2","2",6972.447
"119","8","3","2",11303.915
"120","8","3","3",204818.658
"121","8","4","1",222.44
"122","8","4","2",21814.671
"123","8","5","2",1846.83
"124","8","5","3",13538.753
"125","8","7","1",1583.984
"126","8","7","2",40157.436
"127","8","7","3",590.571
"128","8","8","2",846807.532
"129","8","8","3",3869.496
"130","8","9","2",100641.566
"131","8","9","3",113596.26
"132","9","1","1",13951.055
"133","9","1","2",242.62
"134","9","2","1",14564.841
"135","9","2","2",1515.449
"136","9","3","2",13494.068
"137","9","3","3",30978.05
"138","9","4","1",34.245
"139","9","4","2",856646.003
"140","9","4","3",640136.126
"141","9","5","2",2043.125
"142","9","5","3",218067.648
"143","9","6","2",554.139
"144","9","7","1",272.918
"145","9","7","2",29185.967
"146","9","7","3",301.601
"147","9","8","2",2482.658
"148","9","8","3",3198.837
"149","9","9","2",35585.149
"150","9","9","3",402796.957
"151","10","1","1",9497.944
"152","10","1","2",1236.978
"153","10","2","1",380848.448
"154","10","2","2",110684.882
"155","10","3","2",26505.148
"156","10","3","3",152939.426
"157","10","4","2",2331.333
"158","10","5","2",16225.765
"159","10","5","3",12821.546
"160","10","7","1",353.871
"161","10","7","2",32208.827
"162","10","7","3",223.939
"163","10","8","2",2299.862
"164","10","8","3",4285.063
"165","10","9","2",9411.709
"166","10","9","3",24057.906
"167","11","1","1",45672.62
"168","11","1","2",89.439
"169","11","2","1",11445.53
"170","11","2","2",43334.354
"171","11","3","2",301146.635
"172","11","3","3",95522.175
"173","11","4","1",42.36
"174","11","4","2",5415.361
"175","11","5","2",238153.85
"176","11","5","3",8472.48
"177","11","7","1",136.328
"178","11","7","2",1788.215
"179","11","7","3",16.221
"180","11","8","2",1946.163
"181","11","8","3",1248.66
"182","11","9","2",13422.592
