"","IndustryGroup","JobGroup","RiskGroup","EduGroup","WageGroup","WageGroup2","AgeGroup","Sex","V20","V21","sum_Employment"
"1","1","1","1",3,"3","4","5",1,20,132,28.61
"2","1","1","1",4,"8","5","7",1,20,120,11.629
"3","1","1","1",5,"4","5","5",1,14,149,45.573
"4","1","1","1",5,"7","5","6",1,20,132,54.907
"5","1","1","1",6,"5","5","6",1,20,132,20.313
"6","1","2","1",1,"3","4","6",1,31,237,105.215
"7","1","2","1",1,NA,NA,"6",1,31,237,13.626
"8","1","2","1",2,"1","3","5",1,31,237,51.001
"9","1","2","1",2,"4","5","5",1,31,237,65.718
"10","1","2","1",2,"5","5","5",1,31,237,57.849
"11","1","2","1",2,NA,NA,"6",1,31,237,93.103
"12","1","2","1",3,"1","2","3",2,20,211,64.885
"13","1","2","1",3,"1","2","6",1,31,237,105.956
"14","1","2","1",3,"2","3","6",1,31,237,139.308
"15","1","2","1",3,"3","4","6",1,31,237,226.067
"16","1","2","1",3,"3","5","5",1,31,237,71.653
"17","1","2","1",3,"5","5","5",1,14,262,95.56
"18","1","2","1",3,NA,NA,"3",1,31,237,20.967
"19","1","2","1",3,NA,NA,"3",1,32,237,18.353
"20","1","2","1",3,NA,NA,"4",1,31,237,202.373
"21","1","2","1",3,NA,NA,"5",1,20,231,49.514
"22","1","2","1",3,NA,NA,"5",1,31,237,136.621
"23","1","2","1",4,"4","5","5",1,14,231,59.662
"24","1","2","1",4,"6","5","5",1,20,237,47.045
"25","1","2","1",4,NA,NA,"5",1,31,237,38.367
"26","1","2","1",4,NA,NA,"6",1,31,237,28.156
"27","1","2","1",5,"2","3","2",1,14,231,161.041
"28","1","2","1",5,"3","4","3",1,12,241,87.919
"29","1","2","1",5,"3","4","3",1,20,231,139.343
"30","1","2","1",5,"3","4","4",1,14,231,10.76
"31","1","2","1",5,"4","5","3",1,14,231,138.451
"32","1","2","1",5,"4","5","3",1,20,231,24.137
"33","1","2","1",5,"5","5","4",1,14,231,113.787
"34","1","2","1",5,"5","5","5",1,14,231,142.009
"35","1","2","1",5,"5","5","5",1,14,262,22.903
"36","1","2","1",5,"6","5","5",1,14,262,64.76
"37","1","2","1",6,"2","3","2",1,14,235,161.041
"38","1","2","1",6,"4","5","4",1,14,231,115.689
"39","1","2","1",7,"1","2","5",1,20,254,35.384
"40","1","2","2",2,"4","5","5",1,14,213,58.237
"41","1","2","2",3,NA,NA,"4",1,31,274,61.744
"42","1","2","2",3,NA,NA,"5",1,12,289,14.627
"43","1","2","2",4,"2","3","3",2,11,213,99.306
"44","1","2","2",4,"4","5","4",1,14,213,184.964
"45","1","2","2",5,"1","2","3",2,14,213,101.323
"46","1","2","2",5,"3","5","3",1,20,213,4.224
"47","1","2","2",5,"3","5","4",1,12,289,8.724
"48","1","2","2",5,"3","5","4",1,14,234,25.554
"49","1","2","2",5,"3","5","4",1,20,213,144.126
"50","1","2","2",5,"4","5","4",1,20,213,109.369
"51","1","2","2",5,"4","5","5",1,20,213,11.129
"52","1","2","2",5,"5","5","4",1,20,223,244.251
"53","1","2","2",5,"5","5","5",1,20,213,51.294
"54","1","2","2",5,"6","5","5",1,20,213,3.779
"55","1","2","2",5,NA,NA,"3",1,31,274,57.005
"56","1","3","2",3,"3","4","4",1,20,311,15.468
