"","WageGroup","EduGroup","IndustryGroup","JobGroup","RiskGroup","sum_Employment"
"1","0",0,"1","6","2",38.487
"2","0",0,"1","9","2",13308.46
"3","0",0,"2","7","2",29.146
"4","0",0,"3","4","2",22.963
"5","0",0,"3","7","2",185.506
"6","0",0,"3","8","2",333.541
"7","0",0,"3","9","2",3359.426
"8","0",0,"3","9","3",40.937
"9","0",0,"4","9","2",13.895
"10","0",0,"5","9","2",146.731
"11","0",0,"6","7","2",645.271
"12","0",0,"6","7","3",368.779
"13","0",0,"6","9","2",751.507
"14","0",0,"7","4","2",188.838
"15","0",0,"7","5","3",183.226
"16","0",0,"7","9","2",9783.401
"17","0",0,"7","9","3",964.769
"18","0",0,"9","4","2",130.435
"19","0",0,"9","4","3",238.212
"20","0",0,"9","9","2",221.518
"21","0",0,"9","9","3",2614.202
"22","0",0,"11","9","2",52.649
"23","0",0,"11","9","3",113.974
"24","0",0,"12","9","2",2169.225
"25","0",0,"14","9","2",5676.034
"26","0",0,"15","3","2",99.754
"27","0",0,"15","3","3",68.995
"28","0",0,"15","4","1",537.428
"29","0",0,"15","4","2",1481.784
"30","0",0,"15","5","3",14.586
"31","0",0,"15","9","2",32007.433
"32","0",0,"15","9","3",1129.936
"33","0",0,"16","4","2",112.452
"34","0",0,"16","7","2",42.504
"35","0",0,"16","9","2",1586.11
"36","0",0,"16","9","3",381.411
"37","0",0,"17","4","1",2546.278
"38","0",0,"17","4","2",4670.447
"39","0",0,"17","5","2",328.98
"40","0",0,"17","5","3",32.593
"41","0",0,"17","8","2",141.144
"42","0",0,"17","9","2",16656.02
"43","0",0,"17","9","3",4576.328
"44","0",0,"18","9","2",608.903
"45","0",0,"19","4","1",160.727
"46","0",0,"19","4","2",339.472
"47","0",0,"19","5","3",6.274
"48","0",0,"19","7","2",309.52
"49","0",0,"19","9","2",2696.557
"50","0",0,"19","9","3",35.443
"51","0",0,"20","9","2",1763.848
"52","0",1,"1","6","2",108.295
"53","0",1,"1","6","3",16.029
"54","0",1,"1","9","2",26752.549
"55","0",1,"2","9","2",451.523
"56","0",1,"3","4","2",167.835
"57","0",1,"3","5","3",203.995
"58","0",1,"3","7","2",2224.594
"59","0",1,"3","7","3",68.168
"60","0",1,"3","8","2",49.34
"61","0",1,"3","8","3",1544.708
"62","0",1,"3","9","2",10251.449
"63","0",1,"3","9","3",60.403
"64","0",1,"5","8","2",115.774
"65","0",1,"6","7","1",160.54
"66","0",1,"6","7","2",1099.44
"67","0",1,"6","7","3",1744.088
"68","0",1,"6","9","2",4871.855
"69","0",1,"7","4","2",123.108
"70","0",1,"7","5","3",2818.979
"71","0",1,"7","7","2",249.481
"72","0",1,"7","7","3",177.412
"73","0",1,"7","9","2",12269.949
"74","0",1,"7","9","3",579.621
"75","0",1,"8","8","2",551.751
"76","0",1,"8","9","2",924.393
"77","0",1,"8","9","3",448.933
"78","0",1,"9","4","2",2427.32
"79","0",1,"9","4","3",5721.106
"80","0",1,"9","5","3",118.893
"81","0",1,"9","8","2",6.576
"82","0",1,"9","9","2",906.95
"83","0",1,"9","9","3",15550.063
"84","0",1,"11","4","2",871.294
"85","0",1,"11","5","2",213.49
"86","0",1,"11","9","2",643.632
"87","0",1,"12","2","2",134.65
"88","0",1,"12","4","2",195.645
"89","0",1,"12","5","3",245.261
"90","0",1,"12","9","2",6212.364
