V21,NAME, RISK ,,,,
111,의회의원고위공무원 및 공공단체임원, 0.101 ,,,,
112,기업고위임원, 0.088 ,,,,
120,행정 및 경영지원 관리자, 0.266 ,,,,
131,연구교육 및 법률 관련관리자, 0.092 ,,,,
132,보험 및 금융 관리자, 0.115 ,,,,
133,보건 및 사회복지 관련 관리자, 0.021 ,,,,
134,문화예술디자인 및 영상 관련 관리자, 0.250 ,,,,
135,정보통신관련 관리자, 0.035 ,,,,
139,기타 전문서비스 관리자, 0.014 ,,,,
141,건설전기 및 생산 관련 관리자, 0.260 ,,,,
149,기타 건설전기 및 생산 관련 관리자, 0.047 ,,,,
151,판매 및 운송 관리자, 0.398 ,,,,
152,고객서비스 관리자, 0.112 ,,,,
153,환경청소 및 경비 관련 관리자, 0.355 ,,,,
159,기타 판매 및 고객 서비스 관리자, 0.142 ,,,,
211,생명 및 자연 과학 관련 전문가, 0.131 ,,,,
212,인문 및 사회과학 전문가, 0.166 ,,,,
213,생명 및 자연 과학 관련 시험원, 0.647 ,,,,
221,컴퓨터 하드웨어 및 통신공학 전문가, 0.074 ,,,,
222,정보시스템 개발 전문가, 0.143 ,,,,
223,정보 시스템 운영자, 0.405 ,,,,
224,통신 및 방송송출 장비 기사, 0.720 ,,,,
231,건축 및 토목 공학 기술자 및 시험원, 0.216 ,,,,
232,화학공학 기술자 및 시험원, 0.129 ,,,,
233,금속재료 공학 기술자 및 시험원, 0.195 ,,,,
234,환경공학 기술자 및 시험원, 0.307 ,,,,
235,전기전자 및 기계 공학 기술자 및 시험원, 0.254 ,,,,
236,안전관리 및 검사원, 0.326 ,,,,
237,항공기선박 기관사 및 관제사, 0.267 ,,,,
239,기타 공학 전문가 및 관련 종사자, 0.142 ,,,,
241,의료진료 전문가, 0.045 ,,,,
242,약사 및 한약사, 0.012 ,,,,
243,간호사, 0.032 ,,,,
244,영양사, 0.004 ,,,,
245,치료사 및 의료기사, 0.367 ,,,,
246,보건의료관련 종사자, 0.430 ,,,,
247,사회복지관련 종사자, 0.156 ,,,,
248,종교관련 종사자, 0.017 ,,,,
251,대학 교수 및 강사, 0.032 ,,,,
252,학교 교사, 0.036 ,,,,
253,유치원 교사, 0.079 ,,,,
254,문리기술 및 예능 강사, 0.083 ,,,,
259,기타 교육 전문가, 0.199 ,,,,
261,법률 전문가, 0.258 ,,,,
262,행정 전문가, 0.230 ,,,,
271,인사 및 경영 전문가, 0.642 ,,,,
272,금융 및 보험 전문가, 0.468 ,,,,
273,상품기획홍보 및 조사 전문가, 0.243 ,,,,
274,기술영업 및 중개 관련 종사자, 0.527 ,,,,
281,작가기자 및 출판 전문가, 0.232 ,,,,
282,큐레이터사서 및 기록물관리사, 0.452 ,,,,
283,연극영화 및 영상 전문가, 0.514 ,,,,
284,화가사진가 및 공연예술가, 0.043 ,,,,
285,디자이너, 0.061 ,,,,
286,스포츠 및 레크레이션 관련 전문가, 0.277 ,,,,
289,매니저 및 기타 문화예술 관련 종사자, 0.556 ,,,,
311,행정 사무원, 0.641 ,,,,
312,경영관련 사무원, 0.885 ,,,,
313,회계 및 경리 사무원, 0.855 ,,,,
314,비서 및 사무 보조원, 0.924 ,,,,
320,금융 및 보험 관련 사무 종사자, 0.839 ,,,,
330,법률 및 감사 사무 종사자, 0.800 ,,,,
391,통계관련 사무원, 0.879 ,,,,
392,여행안내 및 접수 사무원, 0.538 ,,,,
399,고객 상담 및 기타 사무원, 0.797 ,,,,
411,경찰소방 및 교도 관련 종사자, 0.199 ,,,,
412,경호 및 보안 관련 종사자, 0.841 ,,,,
421,의료복지 관련 서비스 종사자, 0.455 ,,,,
