한국 대분류,한국 중분류,한국소분류,한국 세분류,직업명, 확률 
2,24,244,2440,영양사, 0.004 
2,24,241,2411,전문 의사, 0.004 
2,25,259,2591,장학관ㆍ연구관 및 교육 관련 전문가, 0.004 
1,13,131,1312,교육 관리자, 0.007 
1,13,133,1331,보건의료관련 관리자, 0.007 
2,25,252,2521,중고등학교 교사, 0.008 
2,25,254,2545,학습지 및 방문 교사, 0.009 
2,22,222,2221,컴퓨터시스템 설계 및 분석가, 0.011 
2,25,252,2523,특수교육 교사, 0.012 
2,24,242,2420,약사 및 한약사, 0.012 
1,13,139,1390,기타 전문서비스 관리자, 0.014 
2,25,254,2542,컴퓨터 강사, 0.014 
2,24,248,2489,기타 종교관련 종사자, 0.017 
2,24,248,2481,성직자, 0.017 
2,23,232,2321,화학공학 기술자 및 연구원, 0.017 
2,23,239,2392,섬유공학 기술자 및 연구원, 0.017 
2,23,239,2393,가스에너지 기술자 및 연구원, 0.017 
1,13,131,1311,연구 관리자, 0.018 
2,23,231,2311,건축가 및 건축공학 기술자, 0.018 
2,23,234,2341,환경공학 기술자 및 연구원, 0.018 
2,23,231,2312,토목공학 기술자, 0.019 
2,24,241,2413,한의사, 0.020 
2,28,284,2842,사진기자 및 사진가, 0.021 
2,24,241,2414,치과 의사, 0.022 
2,22,221,2212,통신공학 기술자 및 연구원, 0.025 
2,28,285,2851,제품 디자이너, 0.029 
2,28,285,2852,패션 디자이너, 0.029 
2,28,285,2854,시각 디자이너, 0.029 
1,14,141,1413,제품 생산관련 관리자, 0.030 
2,22,222,2224,데이터베이스 개발자, 0.030 
2,22,222,2225,네트워크시스템 개발자, 0.030 
2,24,243,2430,간호사, 0.032 
2,25,251,2511,대학 교수, 0.032 
2,25,251,2512,대학 시간강사, 0.032 
2,25,259,2592,대학 교육조교, 0.032 
2,23,239,2391,식품공학 기술자 및 연구원, 0.034 
2,23,239,2394,소방공학 기술자 및 연구원, 0.034 
2,23,239,2399,기타 공학관련 기술자 및 시험원, 0.034 
1,13,135,1350,정보통신관련 관리자, 0.035 
2,26,261,2612,변호사, 0.035 
1,13,133,1332,사회복지관련 관리자, 0.035 
2,24,241,2415,수의사, 0.038 
2,28,284,2841,화가 및 조각가, 0.039 
2,28,284,2843,만화가 및 만화영화 작가, 0.039 
2,24,247,2471,사회복지사, 0.043 
2,24,247,2474,상담 전문가 및 청소년 지도사, 0.043 
4,42,423,4231,결혼 상담원 및 웨딩플래너, 0.043 
2,28,284,2844,국악 및 전통예능인, 0.045 
2,28,284,2845,지휘자작곡가 및 연주가, 0.045 
2,28,284,2846,가수 및 성악가, 0.045 
2,23,231,2313,조경 기술자, 0.045 
2,27,272,2724,증권 및 외환 딜러, 0.046 
2,21,211,2111,생명과학 연구원, 0.046 
1,14,149,1490,기타 건설전기 및 생산 관련 관리자, 0.047 
2,28,285,2855,웹 및 멀티미디어 디자이너, 0.049 
2,24,246,2461,응급구조사, 0.049 
